"genename"	"genestatus"
"STIP1"	1
"STK11"	0
"STK3"	1
"STK40"	1
"STOML2"	1
"STRAP"	1
"STRBP"	1
"STRN"	1
"STUB1"	0
"STX11"	1
"STX5"	1
"STYX"	1
"SYF2"	1
"SYNCRIP"	1
"SYNGR3"	0
"SYT2"	1
"SYTL3"	1
"SYVN1"	1
"TACO1"	1
"TAF12"	1
"TAF15"	1
"TAF1L"	1
"TAF5"	1
"TAF8"	1
"TANC1"	1
"TAOK2"	1
"TAX1BP1"	1
"TBC1D23"	1
"TBC1D24"	1
"TBCCD1"	1
"TBCEL"	1
"TBL1XR1"	1
"TBPL1"	1
"TBRG1"	1
"TBX21"	1
"TBXA2R"	0
"TCAP"	1
"TCEB1"	1
"TCEB2"	1
"TCF12"	1
"TCF3"	0
"TCP1"	1
"TCTEX1D4"	1
"TECTA"	1
"TEKT4"	1
"TET2"	1
"TFAP2E"	1
"TFDP1"	1
"TFDP2"	1
"TFEB"	1
"TGFB1"	1
"TGIF2"	1
"THAP1"	1
"THAP11"	1
"THAP9"	1
"THEM5"	1
"THOC6"	1
"THOC7"	1
"TIMELESS"	1
"TIMM9"	1
"TJAP1"	1
"TLE3"	1
"TLE4"	1
"TLK1"	1
"TLN1"	1
"TM9SF3"	1
"TMED7"	1
"TMED8"	1
"TMEM102"	1
"TMEM11"	1
"TMEM126B"	1
"TMEM134"	1
"TMEM135"	1
"TMEM14B"	1
"TMEM165"	1
"TMEM168"	1
"TMEM182"	1
"TMEM19"	1
"TMEM192"	1
"TMEM203"	1
"TMEM208"	1
"TMEM214"	1
"TMEM216"	1
"TMEM219"	1
"TMEM30B"	1
"TMEM38A"	1
"TMEM41A"	1
"TMEM55A"	1
"TMEM57"	1
"TMEM59"	1
"TMEM66"	1
"TMEM70"	1
"TMF1"	1
"TMPPE"	1
"TMTC3"	1
"TMUB1"	1
"TMUB2"	1
"TNFRSF13B"	1
"TNFRSF17"	1
"TNFRSF21"	1
"TNFSF11"	1
"TNKS"	1
"TNNT3"	0
"TNPO2"	1
"TNRC6B"	1
"TOB2"	1
"TOP1"	1
"TP53BP1"	1
"TPRG1L"	0
"TPX2"	1
"TRA2A"	1
"TRAF4"	1
"TRAF6"	1
"TRAM1L1"	1
"TRAPPC1"	1
"TRAPPC3"	1
"TREM2"	1
"TRIM22"	1
"TRIM25"	1
"TRIM34"	1
"TRIM40"	1
"TRIM45"	1
"TRIM52"	1
"TRMT1"	1
"TRNAU1AP"	1
"TROAP"	1
"TRPC1"	1
"TSG101"	1
"TSPAN5"	1
"TSR1"	1
"TSSK4"	1
"TSTA3"	0
"TSTD2"	1
"TTBK2"	1
"TTC1"	1
"TTC21B"	1
"TTC33"	1
"TTC36"	1
"TTK"	1
"TTLL7"	1
"TUBB1"	1
"TUBB8"	1
"TUBD1"	1
"TUBGCP6"	1
"TXNDC5"	1
"TXNDC9"	1
"TXNIP"	1
"TYROBP"	1
"UBA2"	1
"UBA5"	1
"UBE2D2"	1
"UBE2J1"	1
"UBE2V1"	1
"UBE2V2"	1
"UBE3A"	1
"UBR7"	1
"UBXN1"	1
"UCHL5"	1
"UFC1"	1
"UFM1"	1
"UHMK1"	1
"ULK1"	1
"UNC119"	1
"UNKL"	0
"UPF1"	1
"UPF2"	1
"UQCR10"	1
"UQCR11"	0
"UQCRB"	1
"UQCRC1"	1
"UQCRH"	1
"USMG5"	1
"USP14"	1
"USP19"	1
"USP2"	1
"USP21"	1
"USP25"	1
"USP32"	1
"USP42"	1
"USP5"	1
"USP54"	1
"USP7"	1
"UTP3"	1
"VANGL2"	1
"VARS"	1
"VASN"	1
"VAV1"	1
"VCPIP1"	1
"VDAC3"	1
"VEGFC"	1
"VHL"	1
"VPS18"	1
"VPS25"	1
"VPS37A"	1
"VPS37C"	1
"VPS4B"	1
"VTA1"	1
"VTN"	1
"WBP2"	1
"WDR24"	0
"WDR26"	1
"WDR34"	1
"WDR43"	1
"WDR47"	1
"WDR48"	1
"WDR54"	1
"WDR74"	1
"WDR76"	1
"WDR90"	0
"WNK4"	1
"WNT1"	1
"WNT10A"	1
"WNT2B"	1
"WNT8B"	1
"XPO5"	1
"XPR1"	1
"XRCC4"	1
"YIPF3"	1
"YIPF4"	1
"YKT6"	1
"YLPM1"	1
"YOD1"	1
"YPEL4"	1
"YY1"	1
"ZBED5"	1
"ZBED6"	1
"ZBTB10"	1
"ZBTB11"	1
"ZBTB12"	1
"ZBTB2"	1
"ZBTB26"	1
"ZBTB3"	1
"ZBTB39"	1
"ZBTB41"	1
"ZBTB44"	1
"ZBTB8A"	1
"ZBTB8OS"	1
"ZC3H13"	1
"ZC3H18"	1
"ZC3H7A"	1
"ZC3H7B"	1
"ZCCHC10"	1
"ZCCHC3"	1
"ZCCHC9"	1
"ZDHHC12"	1
"ZFAND1"	1
"ZFC3H1"	1
"ZFP112"	1
"ZFP3"	1
"ZFP36"	1
"ZFP41"	1
"ZFPL1"	1
"ZFR"	1
"ZFYVE26"	1
"ZHX1"	1
"ZMYM2"	1
"ZMYM5"	1
"ZMYND10"	1
"ZMYND11"	1
"ZNF133"	1
"ZNF136"	1
"ZNF148"	1
"ZNF207"	1
"ZNF267"	1
"ZNF280B"	1
"ZNF283"	1
"ZNF286B"	1
"ZNF326"	1
"ZNF335"	1
"ZNF33A"	1
"ZNF341"	1
"ZNF354C"	1
"ZNF394"	1
"ZNF407"	1
"ZNF414"	1
"ZNF420"	1
"ZNF430"	1
"ZNF441"	1
"ZNF444"	1
"ZNF48"	1
"ZNF483"	1
"ZNF507"	1
"ZNF510"	1
"ZNF511"	1
"ZNF521"	1
"ZNF526"	1
"ZNF530"	1
"ZNF540"	1
"ZNF546"	1
"ZNF57"	1
"ZNF570"	1
"ZNF582"	1
"ZNF583"	1
"ZNF594"	1
"ZNF599"	1
"ZNF609"	1
"ZNF611"	1
"ZNF620"	1
"ZNF621"	1
"ZNF629"	1
"ZNF643"	1
"ZNF653"	1
"ZNF658"	1
"ZNF687"	1
"ZNF696"	0
"ZNF7"	1
"ZNF700"	1
"ZNF703"	1
"ZNF706"	1
"ZNF747"	1
"ZNF780B"	1
"ZNF782"	1
"ZNF785"	1
"ZNF787"	1
"ZNF821"	1
"ZNF827"	1
"ZNF91"	1
"ZNHIT2"	1
"ZSWIM3"	1
"ZW10"	1
